Time (ms),X-accel (g),Y-accel (g),Z-accel (g),X-gyro (deg/sec),Y-gyro (deg/sec),Z-gyro (deg/sec),Temperature (deg C),Pressure (hPa),Altitude (m),Relative Humidity (%),
6503,3.25,-1.52,9.12,0.07,0.09,-0.22,24.4,996.75,138.29,30.61,
6616,1.9,-2.65,7.76,-0.07,0.53,0.11,24.4,996.78,138.07,30.61,
6728,2.08,-0.95,9.18,-0.03,0,-0.17,24.4,996.77,138.16,30.63,
6840,1.68,-2.37,8.7,0,0.09,0.13,24.41,996.76,138.17,30.61,
6952,1.21,-1.8,9.02,-0.16,-0.11,-0.13,24.4,996.75,138.27,30.61,
7065,1.95,-2.16,7.95,-0.04,-0.02,-0.03,24.4,996.76,138.21,30.61,
7179,2.27,-1.7,8.83,0.05,-0.11,-0.08,24.4,996.76,138.23,30.62,
7291,2.09,-2.19,9.02,-0.04,0.08,-0.06,24.4,996.74,138.34,30.62,
7403,2.04,-1.65,9.19,-0.1,0.02,-0.04,24.41,996.77,138.09,30.57,
7516,1.53,-2.1,8.97,-0.13,0.14,-0.06,24.41,996.75,138.27,30.64,
7628,1.05,-2.85,8.84,-0.41,0,0.07,24.41,996.76,138.24,30.61,
7741,2.33,-4.35,7.74,-0.15,-0.27,0.3,24.41,996.77,138.15,30.62,
7854,1.77,-3.34,9.39,0.14,-0.05,0.14,24.41,996.76,138.2,30.61,
7965,2.92,-1.96,8.77,0.03,-0.19,0.05,24.41,996.76,138.21,30.6,
8078,3.36,-1.42,7.78,-0.34,-0.03,0,24.41,996.74,138.39,30.6,
8190,1.88,-4.42,9.5,-0.27,0.07,-0.2,24.41,996.75,138.26,30.68,
8303,2.55,-3.14,8.16,0.12,-0.01,-0.01,24.41,996.76,138.2,30.6,
8416,4.07,-2.39,7.65,0.03,0.13,0.06,24.41,996.75,138.32,30.61,
8528,2.12,-3.4,8.52,-0.08,0,-0.03,24.41,996.74,138.36,30.61,
8641,2.18,-3.01,8.54,0.06,0.06,0.04,24.41,996.76,138.17,30.6,
8753,2.29,-2.87,8.56,-0.01,0.11,-0.01,24.41,996.77,138.1,30.61,
8865,1.18,-2.18,9.81,0.16,0.18,0.08,24.41,996.74,138.39,30.61,
8978,1.65,-2.92,8.8,0.1,-0.18,0.19,24.41,996.74,138.42,30.59,
9091,1.94,-3.14,8.4,0.22,-0.05,0.16,24.41,996.77,138.08,30.6,
9202,6.41,-9.42,-0.1,-0.09,1.31,0.25,24.41,996.74,138.36,30.61,
9315,1.69,-2.31,9.32,-0.11,-0.05,-0.01,24.42,996.76,138.19,30.61,
9428,2,-2.58,8.79,-0.03,0.08,-0.04,24.42,996.75,138.3,30.62,
9540,2.04,-1.84,6.62,-0.23,-0.03,-0.18,24.42,996.76,138.24,30.63,
9654,-0.64,-5.52,8.09,-0.37,0.05,-0.6,24.43,996.78,138.24,30.6,
9766,1.31,-2.19,9.49,-0.05,-0.75,0.1,24.43,996.76,138.18,30.63,
9879,5.8,-2.72,9.63,0.35,-0.39,0.59,24.43,996.79,137.95,30.64,
9992,19.61,18.56,19.61,0.04,1.57,0.41,24.42,996.76,138.18,30.64,
10104,1.18,-4.99,7.65,-0.1,0.15,0.87,24.43,996.75,138.26,30.64,
10216,0.95,-2.99,9.44,0.56,-0.62,0.68,24.43,996.76,138.24,30.66,
10329,2.28,-2.83,7.46,-0.35,-0.44,0.48,24.43,996.78,138.05,30.7,
10442,2.65,-3.88,8.49,0.36,-0.13,0.32,24.43,996.78,138.07,30.67,
10554,0.76,-3.82,8.53,0.41,-0.41,0.35,24.42,996.77,138.08,30.68,
10667,5.75,-4.2,8.99,1.16,-0.64,0.2,24.43,996.79,137.97,30.68,
10779,5.66,-1.13,7.1,-0.28,0.05,-0.44,24.43,996.77,138.11,30.69,
10893,2.99,-3.44,9.38,0.08,0.13,-0.36,24.42,996.78,138.07,30.7,
11004,4.58,-1.1,7.75,0.44,-0.02,-0.06,24.43,996.77,138.15,30.76,
11118,1.93,1.04,8.61,0.33,0.21,-0.25,24.42,996.77,138.11,30.83,
11231,4.03,0.19,8.5,0.66,0.12,-0.24,24.43,996.76,138.2,30.83,
11342,3.77,1.41,9.92,0.31,0.12,-0.64,24.43,996.77,138.15,30.91,
11455,2.69,1.71,9.11,-0.14,0.2,0.02,24.43,996.81,137.76,30.98,
